Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
,,,DSG 1538,2,1AA,HISTÓRIA DA MODA BRASILEIRA ,,,,,6,09-11,VIRTUAL,18 CDI/ 2 QQC,Silvia Helena ,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,DSG 1551,4,1AA,DESIGN DE ADORNOS PESSOAIS,,3,,5,,11-13/ 11-13,VIRTUAL/L 422,21 MOD,Irina Aragão,,5º para MOD
,,,DSG 1553,2,1AA,HISTÓRIA DO ADORNO PESSOAL II,,,4,,,11-13,VIRTUAL,20 CDI,Irina Aragão,,
,,,DSG 1602,2,1AA,TENDÊNCIAS EM DESIGN DE PRODUTO,,,,5,,11-13,VIRTUAL,20 BPP,Flavio Carvalho,,6º para PP
,,,DSG 1603,3,1AA,COR NO DESIGN DE PRODUTO,,,,5,,15-18,ART 2,20 CDI,Celso Wilmer,,3º para PP
Trabalho e contemporaneidade,,,DSG 1604,2,1AA,ERGONOMIA DO PRODUTO,,,,5,,09-11,VIRTUAL,20 CDI,Claudia Stamato,,4º para PP
,,,DSG 1605,3,1AA,BIÔNICA ,,3,,,,11-14,ART 2,20 BPP,João Victor,,6º para PP
,,,DSG 1612,3,1AA,REPRESENTAÇÃO EM VOLUME II,2,,,,,08-11,K 008 e LAMP,20 BPP,Gabriella Vaccari,,
,,,DSG 1613,2,1AA,REPRESENTAÇÃO EM VOLUME III,2,,,,,11-13,K 008 e LAMP,20 BPP,Gabriella Vaccari,,8ª para PP
,,,DSG 1622,2,1AA,MATERIAIS E PROCES. DE PROD I,,,,5,,07-09,IAG 4,20 BPP,Marco Antônio ,,5º para PP
,,,DSG 1623,4,1AA,MATERIAIS E PROCES. DE PROD II,,,,,6,07-11,IAG 4,20 BPP,Marco Antônio ,,6º para PP
,,,DSG 1631,2,1AA,ESTRUTURA E MECANISMO ,,,,5,,09-11,IAG 4,20 BPP,Leonidas Moraes,,5º para PP
,,,DSG 1632,2,1AA,SEMÂNTICA DO PRODUTO,2,,,,,09-11,VIRTUAL,20 BPP,Vera Nojima ,,7º para PP
,,,DSG 1633,2,1AA,TEORIA DO OBJETO,,3,,,,07-09,VIRTUAL,20 BPP,Flavio Carvalho,,5º para PP
,,,DSG 1634,2,1AA,ECODESIGN,,,4,,,11-13,ART 4,20 BPP / 2 QQC,Augusto Seibel,,7º para PP
,,,DSG 1635,2,1AA,ILUSTRAÇÃO DE PRODUTO,,,,,6,11-13,VIRTUAL,15 CDI/ 5 QQC,Dedé Rocha ,,2º para PP optativa de desenho
,,,DSG 1637,3,1AA,LABORATORIO DA FORMA I,,3,,,,08-11,LAMP K08,15 BPP/ 3 CDI,Gabriella Vaccari,,6º para PP optativa de design de produto
,,,DSG 1703,2,1AA,TED – SINALIZAÇÃO SERVDES,,,,,6,09-11,L 658,20 CDI,Evelyn Grumach,,
,,,DSG 1705,2,1AA,ILUSTRAÇÃO PARA NARRATIVA FICCIONAL,,,4,,,13-15,VIRTUAL,10 CDI/ 10 QQC,Miguel Carvalho,,
,,,DSG 1714,2,1AA,TED XV - MODELO DE NEGÓCIO - PP,2,,,,,07-09,VIRTUAL,15 BPP / 5 CDI,Felipe Rangel,,6º para PP optativa de representação em PP
Animação,,,DSG 1717,2,1AA,TED XIV - DISTRIBUIÇÃO AUDIOVISUAL,,3,,,,09-11,VIRTUAL,10 CDI/ 10 QQC,Claudia Bolshaw,,Eletiva 
Animação,,,DSG 1718,2,1AA,NARRATIVAS AUDIOVISUAIS,,,,5,,11-13,VIRTUAL,10 CDI/ 10 QQC,Horista a contratar,,Eletiva 
,,,DSG 1721,2,1AA,TED XXII CULTURA BRASILEIRA DA LIT INFANTO JUVENIL ,,,,,6,11-13,VIRTUAL,10 CDI/ 10 QQC/ 2CCI,Luciana Grether,,Eletiva 
,,,DSG 1753,3,1AA,TED LIV - DIAGRAMAÇÃO E EDITORAÇÃO ELETRÔNICA ,,3,,,,10-13,T 04,10 BCV / 05 CDI,Romulo Matteoni,,Optativa Representação em CV
,,,DSG 1753,3,1AB,TED LIV - DIAGRAMAÇÃO E EDITORAÇÃO ELETRÔNICA ,,,4,,,11-14,T 04,10 BCV / 05 CDI,Fabiana Prado,,Optativa Representação em CV
,,,DSG 1757,3,1AA,MERCHANDISING VISUAL DE MODA,2,,,,,15-18,VIRTUAL,10 CDI/ 10 QQC,Monica Saddi,,
,,,DSG 1801,2,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,VIRTUAL,14 CAL/16 ART/ 3QQC,Jackeline Farbiarz 2 Tatiana Carvalho 0 Roberta Portas 0,,1º
,,,DSG 1801,2,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,VIRTUAL,8 CAL/15 ART/ 2 QQC,Roberta Portas 2 Jackeline 0 Tatiana Carvalho 0 ,,1º
,,,DSG 1801,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,VIRTUAL,8 CAL/15 ART/ 2 QQC,Tatiana Carvalho 2 Roberta Portas 0 Jackeline 0 ,,1º
,,,DSG 1802,2,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,,,,5,,13-15,ART 1,8 CAL/ 20 ART,Izabel Oliveira 1 Lula Rocha 1  João Bonelli 0 Roberta 0,,2º
,,,DSG 1802,2,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 2,6 CAL/ 20 ART,João Bonelli 1 Lula Rocha 1 Izabel Oliveira 0 Roberta 0,,2º
,,,DSG 1802,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 3,6 CAL/ 21 ART,Horista a contratar 1 Lula Rocha 1 Izabel Oliveira 0 Roberta 0 João Bonelli 0 ,,2º
,,,DSG 1803,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,27 ART,Luis Vicente 1  Carlos André 0 Luciana Grether 0  Olivia Hirch 1 Roberta 0,,3º
,,,DSG 1803,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,2,,,,,13-15,VIRTUAL,27 ART,Carlos André 1 Luis Vicente 0 Luciana Grether 0 Roberta 0 Palestra 1,,3º
,,,DSG 1803,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,27 ART,Luciana Grether 1 Luis Vicente 0 Carlos André 0 Roberta 0 Palestra 1,,3º
,,,DSG 1804,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,IAG 4,30 ART,Claudio Werneck 2  Izabel Oliveira 0 Roberta 0 Vera Damaio 0,,4º
,,,DSG 1804,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,ART 3,30 ART,Izabel Oliveira 2  Claudio Werneck 0 Roberta 0 Vera Damazio 0,,4º
,,,DSG 1804,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,IAG 3,30 ART,Horista a contratar 2 Claudio Werneck 0 Roberta 0 Izabel Oliveira 0,,4º
,,,DSG 1805,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,26 ART,Romulo Matteoni ,,5º
,,,DSG 1805,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,26 ART,Vera Nojima ,,5º
,,,DSG 1805,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,26 ART,Horista a contratar ,,5º
,,,DSG 1811,4,1AA,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,07 CAL/ 11 ART / 2 QQC,Luiza Marcier 2 Eliane Garcia 1 Luis Vicente 0 Claudia Bolshaw 0 Mario Seixas 0 Carlos André 0 Roberta 0 Palestra 1,,1º
,,,DSG 1811,4,1AB,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,07 CAL/ 11 ART / 2 QQC,Luis Vicente 2 Claudia Bolshaw 1  Luiza Marcier 0 Eliane Garcia 0 Mario Seixas 0 Carlos André 0  Roberta 0 Palestra 1 ,,1º
,,,DSG 1811,4,1AC,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,08 CAL/ 14 ART ,Mario Seixas 2 Claudia Bolshaw 1 Luiza Marcier 0 Eliane Garcia 0 Luis Vicente 0  Carlos André 0  Roberta 0 Palestra 1 ,,1º
,,,DSG 1811,4,1AD,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,08 CAL/ 14 ART ,Carlos André 2 Eliane Garcia 1 Luiza Marcier 0  Luis Vicente 0 Claudia Bolshaw 0 Mario Seixas 0  Roberta 0 Palestra 1 ,,1º
,,,DSG 1812,4,1AA,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,15 ART / 4 CAL,Gabriela Gusmão 2 Cristina Viana 1 Roberta 0 Augusto Seibel 0 Gilberto Mendes 0 Marcelo Pereira 0 Isabel Martins 0 Palestra 1,,2º
,,,DSG 1812,4,1AB,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,15 ART / 4 CAL,Augusto Seibel 2 Cristina Viana 1 Gabriela Gusmão 0  Roberta 0 Gilberto Mendes 0 Marcelo Pereira 0 Isabel Martins 0 Palestra 1,,2º
,,,DSG 1812,4,1AC,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,15 ART / 6 CAL,Gilberto Mendes 2 Marcelo Pereira 1 Roberta 0 Gabriela Gusmão 0 Cristina Viana 0 Augusto Seibel 0  Isabel Martins 0 Palestra 1,,2º
,,,DSG 1812,4,1AD,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,16 ART / 6 CAL,Isabel Martins 2 Marcelo Pereira 1 Roberta 0 Gilberto Mendes 0 Gabriela Gusmão 0 Cristina Viana 0 Augusto Seibel 0  Palestra 1,,2º
,,,DSG 1813,6,1AA,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,L 232,14 ART,Carlos André 3 Renata Mattos 1 Luis Vicente 0 Luciana Grether 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,,3º
,,,DSG 1813,6,1AB,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,L 232,13 ART,Renata Mattos 3 Carlos André 1 Luis Vicente 0 Luciana Grether 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,,3º
,,,DSG 1813,6,1AC,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,L 260,14 ART,Luis Vicente 3 Luciana Grether 1 Carlos André 0 Renata Mattos 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,,3º
,,,DSG 1813,6,1AD,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,L 260,13 ART,Luciana Grether 3 Luis Vicente 1 Carlos André 0 Renata Mattos 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,,3º
,,,DSG 1813,6,1AE,PROJETO : PROJETAR EM PARCERIA,,,4,,,13-19,L 422,14 ART,Luiza Novaes 3 Luciana Barbosa 1 Luis Vicente 0 Luciana Grether 0 Carlos André 0 Renata Mattos 0 Palestra 2,,3º
,,,DSG 1813,6,1AF,PROJETO : PROJETAR EM PARCERIA,,,4,,,13-19,L 422,13 ART,Luciana Barbosa 3 Luiza Novaes 1 Luis Vicente 0 Luciana Grether 0 Carlos André 0 Renata Mattos 0 Palestra 2,,3º
,,,DSG 1814,6,1AA,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 232,15 ART,Guilherme Toledo 3 Joana Pessoa 1 Eliane Garcia 0 Felipe Rangel 0 Claudia Kayat 0 Daniel Malaguti 0 Carlo Franzato 0 Palestra 2,,4º
,,,DSG 1814,6,1AB,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 232,16 ART,Joana Pessoa 3 Guilherme Toledo 1 Eliane Garcia 0 Felipe Rangel 0 Claudia Kayat  0 Daniel Malaguti 0 Carlo Franzato 0 Palestra 2,,4º
,,,DSG 1814,6,1AC,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 260,15 ART,Eliane Garcia 3 Claudia Kayat 1 Guilherme Toledo 0 Joana Pessoa 0 Felipe Rangel  0 Daniel Malaguti 0 Carlo Franzato 0 Palestra 2,,4º
,,,DSG 1814,6,1AD,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 260,16 ART,Claudia Kayat 3 Eliane Garcia 1 Guilherme Toledo 0 Joana Pessoa 0 Felipe Rangel  0 Daniel Malaguti 0 Carlo Franzato 0 Palestra 2,,4º
,,,DSG 1814,6,1AE,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 422,15 ART,Felipe Rangel 3 Daniel Malaguti 1 Carlo Franzato 1 Guilherme Toledo 0 Eliane Garcia 0 Claudia Kayat 0 Joana Pessoa 0 Palestra1,,4º
,,,DSG 1814,6,1AF,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 422,16 ART,Daniel Malaguti 3 Felipe Rangel 1 Carlo Franzato 2 Guilherme Toledo 0 Eliane Garcia 0 Claudia Kayat 0 Joana Pessoa 0,,4º
,,,DSG 1815,6,1AA,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,F 100,15 ART,Augusto Seibel 4 Palestra 2,,5º
,,,DSG 1815,6,1AB,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,F 100,15 ART,Claudio Werneck 4 Palestra 2,,5º
,,,DSG 1815,6,1AC,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 532,15 ART,Isabel Martins 4 Palestra 2,,5º
,,,DSG 1815,6,1AD,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 532,15 ART,Renata Mattos 4 Palestra 2,,5º
,,,DSG 1815,6,1AE,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 658,15 ART,Gilberto Mendes 4 Palestra 2,,5º
,,,DSG 1815,6,1AF,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 658,15 ART,Marcelo Pereira 4 Palestra 2,,5º
,,,DSG 1821,2,1AA,HISTORIA E TEORIA DO DESIGN I,,3,,,,15-17,VIRTUAL ,14 CAL/16 ART/ 3QQC,Irina Aragão,,1º
,,,DSG 1821,2,1AB,HISTÓRIA E TEORIA DO DESIGN I,,3,,,,17-19,VIRTUAL,8 CAL/15 ART/ 2 QQC,Flavia Nizia,,1º
,,,DSG 1821,2,1AC,HISTORIA E TEORIA DO DESIGN I,,3,,,,17-19,VIRTUAL,8 CAL/15 ART/ 2 QQC,Irina Aragão,,1º
,,,DSG 1822,2,1AA,HISTORIA DO DESIGN BRASILEIRO,,,4,,,17-19,VIRTUAL,8 CAL/ 20 ART,Joaquim Redig,,2º
,,,DSG 1822,2,1AB,HISTORIA DO DESIGN BRASILEIRO,,,4,,,15-17,VIRTUAL,6 CAL/ 20 ART,Irina Aragão,,2º
,,,DSG 1822,2,1AC,HISTORIA DO DESIGN BRASILEIRO,,,4,,,17-19,VIRTUAL,6 CAL/ 21 ART,Flavia Nizia,,2º
,,,DSG 1822,2,1AD,HISTORIA DO DESIGN BRASILEIRO,2,,,,,09-11,VIRTUAL,25 ART,Cristine Nogueira,,2º
,,,DSG 1823,2,1AA,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,15-17,VIRTUAL,27 ART,Cristine Nogueira,,3º
,,,DSG 1823,2,1AB,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,27 ART,Silvia Helena ,,3º
,,,DSG 1823,2,1AC,HISTÓRIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,27 ART,Jorge Langone,,3º
,,,DSG 1824,2,1AA,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,26 ART,João Victor ,,5º
,,,DSG 1824,2,1AB,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,26 ART,Irina Aragão,,5º
,,,DSG 1824,2,1AC,TEORIA DO OBJETO,,,,,6,11-13,VIRTUAL,26 ART,Marco Antônio ,,5º
,,,DSG 1825,2,1AA,HISTÓRIA DA ARTE,,,,,6,11-13,VIRTUAL,32 ART,Jorge Langone,,5º
,,,DSG 1825,2,1AB,HISTÓRIA DA ARTE,,,,,6,11-13,VIRTUAL,32 ART,Luiza Interlenghi,,5º
,,,DSG 1825,2,1AC,HISTÓRIA DA ARTE,,,,,6,09-11,VIRTUAL,32 ART,Jorge Langone,,5º
,,,DSG 1841,4,1AA,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,15-17,F 100,14 CAL/16 ART/ 3QQC,Evelyn Grumach,,1º
,,,DSG 1841,4,1AB,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,15-17,L 532,8 CAL/15 ART/ 2 QQC,Julieta Sobral ,,1º
,,,DSG 1841,4,1AC,LINGUAGEM E COMUNICAÇÃO NO DESIGN,2,,4,,,13-15,F 100,8 CAL/15 ART/ 2 QQC,Romulo Matteoni,,1º
,,,DSG 1842,4,1AB,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,K 015 /ART 2,8 CAL/15 ART/ 2 QQC,Alexandre Cantini 2 Flavio Carvalho 2,,1º
,,,DSG 1842,4,1AA,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,17-19,K 015/ART 2,14 CAL/16 ART/ 3QQC,Eliane Garcia 2 Lula Rocha 2,,1º
,,,DSG 1842,4,1AC,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,17-19,ART 2/ K 015,8 CAL/15 ART/ 2 QQC,Lula Rocha 2 Monica Frota 2,,1º
,,,DSG 1843,2,1AA,LINGUAGEM GRÁFICA ,,,,5,,17-19,F 100,14 CAL/16 ART/ 3QQC,Guto Lins ,,1º
,,,DSG 1843,2,1AB,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 232,8 CAL/15 ART/ 2 QQC,Fabiana Prado,,1º
,,,DSG 1843,2,1AC,LINGUAGEM GRÁFICA ,,,,5,,17-19,L 260,8 CAL/15 ART/ 2 QQC,Priscila Andrade ,,1º
Animação,,,DSG 1844,2,1AA,DESENHO DE OBSERVAÇÃO,,,,,6,13-15,F 100,14 CAL/16 ART/ 3QQC,Nathalia Cavalcante ,,1º
Animação,,,DSG 1844,2,1AB,DESENHO DE OBSERVAÇÃO,,,,,6,15-17,F 100,8 CAL/15 ART/ 2 QQC,Dedé Rocha ,,1º
Animação,,,DSG 1844,2,1AC,DESENHO DE OBSERVAÇÃO,,,,,6,15-17,ART 1,8 CAL/15 ART/ 2 QQC,Carlos André,,1º
,,,DSG 1845,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,L 422,8 CAL/ 20 ART,Romulo Matteoni,,2º
,,,DSG 1845,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,L 532,6 CAL/ 20 ART,Izabel Oliveira ,,2º
,,,DSG 1845,3,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",,,,5,,15-18,L 658,6 CAL/ 21 ART,Horista a contratar,,2º
,,,DSG 1846,2,1AB,GEOMETRIA NO DESIGN,,,4,,,17-19,VIRTUAL,6 CAL/ 20 ART,Alessandra Carusi,,2º
,,,DSG 1846,2,1AA,GEOMETRIA NO DESIGN,,,4,,,15-17,VIRTUAL,8 CAL/ 20 ART,Celso Wilmer,,2º
,,,DSG 1846,2,1AC,GEOMETRIA NO DESIGN,,,4,,,15-17,VIRTUAL,6 CAL/ 21 ART,Alessandra Carusi,,2º
,,,DSG 1846,2,1AD,GEOMETRIA NO DESIGN,,,,5,,15-17,VIRTUAL,21 ART,Alessandra Carusi,,
,,,DSG 1847,4,1AA,DESENHO DE CONCEPÇÃO,2,,4,,,13-15/13-15,L 232/ VIRTUAL,8 CAL/ 20 ART,Mateu Velasco,,2º
,,,DSG 1847,4,1AB,DESENHO DE CONCEPÇÃO,2,,4,,,13-15/13-15,L 260/ VIRTUAL,6 CAL/ 20 ART,Nathalia Cavalcante,,2º
,,,DSG 1847,4,1AC,DESENHO DE CONCEPÇÃO,2,,4,,,13-15/13-15,L 422/ VIRTUAL,6 CAL/ 21 ART,Guto Lins,,2º
,,,DSG 1848,3,1AD,PLÁSTICA,,,4,,,11-14,ART 5,20 ART ,Sheila Dain,,2º
,,,DSG 1848,3,1AA,PLÁSTICA,2,,,,,15-18,L 232,8 CAL/ 20 ART,Carlos Eduardo Felix,,2º
,,,DSG 1848,3,1AB,PLÁSTICA,2,,,,,15-18,L 260,6 CAL/ 20 ART,Carlos André,,2º
,,,DSG 1848,3,1AC,PLÁSTICA,2,,,,,15-18,ART 5,6 CAL/ 21 ART,Mateu Velasco,,2º
,,,DSG 1849,4,1AA,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 422,27 ART,Denise Portinari 2 Palestra 2 ,,3º
,,,DSG 1849,4,1AB,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 532,27 ART,Nathalia Cavalcante 2 Palestra  2  ,,3º
,,,DSG 1849,4,1AC,O CORPO HUMANO COMO QUESTÃO EM DESIGN,,3,,,6,15-17,L 658,27 ART,Luiza Marcier 2 Palestra 2,,3º
,,,DSG 1850,2,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,17-19,ART 2 ,27 ART,Romulo Matteoni,,3º
,,,DSG 1850,2,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,17-19,ART 3,27 ART,Horista a contratar,,3º
,,,DSG 1850,2,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",,,,,6,13-15,ART 2 ,27 ART,Horista a contratar,,3º
,,,DSG 1851,2,1AA,GEOMETRIA DESCRITIVA,2,,,,,15-17,VIRTUAL,21 ART,Alessandra Carusi,,3º
,,,DSG 1851,2,1AB,GEOMETRIA DESCRITIVA,2,,,,,15-17,VIRTUAL,21 ART,Leonidas Moraes,,3º
,,,DSG 1851,2,1AC,GEOMETRIA DESCRITIVA,2,,,,,17-19,VIRTUAL,21 ART,Alessandra Carusi,,3º
,,,DSG 1851,2,1AD,GEOMETRIA DESCRITIVA,2,,,,,17-19,VIRTUAL,21 ART,Leonidas Moraes,,3º
,,,DSG 1852,2,1AA,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,25 ART,Claudia Vianna,,4º
,,,DSG 1852,2,1AB,FUNDAMENTOS EM ERGODESIGN,,,,,6,11-13,VIRTUAL,25 ART,Claudia Stamato ,,4º 
,,,DSG 1853,2,1AA,DESENHO TÉCNICO,,,,,6,13-15,VIRTUAL,20 ART,Alessandra Carusi ,,4º
,,,DSG 1853,2,1AB,DESENHO TÉCNICO,,3,,,,09-11,VIRTUAL,20 ART,Marco Antônio ,,4º
,,,DSG 1853,2,1AB,DESENHO TÉCNICO,,,,,6,09-11,VIRTUAL,20 ART,Leonidas Moraes,,4º
,,,DSG 1854,4,1AA,LINGUAGEM E ESTRUTURAS,2,,4,,,08-10,L 232,23 ART,Augusto Seibel 2 Rian Rezende 2,,4º
,,,DSG 1854,4,1AB,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 422,23 ART,Isabel Martins 2  Fábio Lopez 2,,4º
,,,DSG 1854,4,1AC,LINGUAGEM E ESTRUTURAS ,2,,4,,,08-10,L 260,23 ART,Felipe Rangel 2 Horista a contratar 2 ,,4º
,,,DSG 1855,3,1AA,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 4,26 ART,Rian Rezende,,5º
,,,DSG 1855,3,1AB,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,3,,,,10-13,ART 5,26 ART,Horista a contratar,,5º
,,,DSG 1855,3,1AC,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",,,,5,,10-13,ART 4,26 ART,Rian Rezende,,5º
,,,DSG 1856,2,1AA,BIONICA,,3,,,,08-10,ART 4,26 ART,Evelyn Grumach,,5º
,,,DSG 1856,2,1AB,BIONICA,,3,,,,08-10,ART 5,26 ART,João Victor,,5º
,,,DSG 1856,2,1AC,BIONICA,,,,5,,08-10,ART 4,26 ART,Nathalia Cavalcante,,5º
,,,DSG 1861,2,1AA,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 4,20 ART,Gabriella Vaccari 2 Guilherme Xavier 0,,3º
,,,DSG 1861,2,1AB,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 4,20 ART,Guilherme Xavier 2 Gabriella Vaccari 0,,3º
,,,DSG 1861,2,1AC,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 5,20 ART,Gilberto Mendes 2 André Beltrão 0,,3º
,,,DSG 1861,2,1AD,PRÁTICAS EXPERIMENTAIS I,,,,5,,15-17,LAMP/ART 5,20 ART,André Beltrão 2 Gilberto Mendas 0,,3º
,,,DSG 1862,2,1AA,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,ART 2 ,23 ART,João Bonelli,,4º
,,,DSG 1862,2,1AB,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,L 532,23 ART,Guilherme Xavier,,4º
,,,DSG 1862,2,1AC,PRÁTICAS EXPERIMENTAIS II,,,,5,,11-13,L 658,23 ART,Joy Till,,4º
,,,DSG 1863,4,1AA,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,26 ART,João Bonelli,,5º
,,,DSG 1863,4,1AB,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,26 ART,Luiz Ludwig,,5º
,,,DSG 1863,4,1AC,PRÁTICAS EXPERIMENTAIS III,2,,4,,,08-10,LIFE / K 015 / F 100,26 ART,Luiza Marcier,,5º
,,,DSG 1864,4,1AA,PRÁTICAS EXPERIMENTAIS IV,,3,,5,,13-15,K 008,20 ART,Mario Seixas,,3º/4º Optativas Práticas Experimentais
,,,DSG 1865,4,1AA,PRÁTICAS EXPERIMENTAIS V,,3,,5,,13-15,LAB MOD,20 ART,Walvyker Souza,,3º/4º Optativas Práticas Experimentais
,,,DSG 1866,2,1AA,PRÁTICAS EXPERIMENTAIS VI,,,,5,,07-09,K 015,20 ART,Helena Cavalcanti,,4º
,,,DSG 1867,2,1AA,PRÁTICAS EXPERIMENTAIS VII,,,,5,,09-11,LAB MOD,20 ART,Luciana Barbosa ,,4º
,,,DSG 1930,4,1AA,MATERIAIS SUSTENTÁVEIS E PROCESSOS CIRCULARES,,,,,6,09-13,ART 5,20 ART,Daniel Malaguti ,,
,,,DSG 1946,4,1AA,MODA E O CORPO CONTEMPORANEO,,,4,,6,13-15,VIRTUAL/ L 422,10 ART/ 10 QQC,Luiza Marcier 2 Walvyker 2,,Optativa
