Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
,,,DSG 1032,10,1AA,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 232,13 BCV,Roberta Portas 5 Izabel Oliveira 0  Fábio Lopez 0 Mª de Fátima 2 Julieta Sobral 2 Evelyn Grumach 1 Clarissa Biolchini 0 Suzana Valladares 0 Luiz Ludwig 0,,8º para CV 
,,,DSG 1032,10,1AB,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 232,13 BCV,Izabel Oliveira 5 Roberta Portas 0 Luiz Ludwig 2 Fábio Lopez 0 Mª de Fátima 1 Evelyn Grumach 0  Suzana Valladares 2 Julieta Sobral 0 Clarissa Biolchini 0 ,,8º para CV 
,,,DSG 1032,10,1AC,PROJETO FINAL CV,,3,,,6,07-11/07-13,L 260,13 BCV,Fábio Lopez 5 Roberta Portas 0 Izabel Oliveira 0  Luiz Ludwig 1 Mª de Fátima 0 Evelyn Grumach 1 Julieta Sobral 0 Clarissa Biolchini 3 Suzana Valladares 0 ,,8º para CV 
,,,DSG 1041,10,1AA,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422/VIRTUAL,15 DIG,Mª das Graças 5 João Bonelli 1 Eliane Garcia 0  0 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1,,7º para DIG
,,,DSG 1041,10,1AB,PROJETO ESPECIFICO DIG,,3,,5,,07-13/07-11,L 422/VIRTUAL,15 DIG,Eliane Garcia 5 João Bonelli 1 Mª das Graças 0 Marcelo Pereira 1 Guilherme Xavier 1 Joy Till 1 Claudia Bolshaw 1,,7º para DIG
,,,DSG 1042,10,1AA,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,13 DIG,João Bonelli 3 Marcelo Pereira 0 Mª das Graças 0 Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 2 Joy Till 1 Rian Rezende 2 Alexandre Cantini 0,,8º para DIG
,,,DSG 1042,10,1AB,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,13 DIG,Marcelo Pereira 5  João Bonelli 0 Mª das Graças 0 Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 1Joy Till 1 Rian Rezende 0 Alexandre Cantini 1,,8º para DIG
,,,DSG 1042,10,1AC,PROJETO FINAL DIG,,3,,,6,07-11/07-13,L 532,13 DIG,Mª das Graças 5 João Bonelli 0 Marcelo Pereira 0 Eliane Garcia 1 Guilherme Xavier 1 Claudia Bolshaw 1 Joy Till 1 Rian Rezende 0 Alexandre Cantini 0 Palestra 1,,8º para DIG
,,,DSG 1051,10,1AA,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,ART 1,11 MOD,Isabel Martins 5 Joana Pessoa 2 Gisela Pereira 2  Monica Saddi 1,,7º para MOD
,,,DSG 1051,10,1AB,PROJETO ESPECIFICO MOD,,3,,5,,07-13/07-11,ART 1,11 MOD,Priscila Andrade 5 Joana Pessoa 3 Gisela Pereira 2 ,,7º para MOD
,,,DSG 1052,8,1AA,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),11 MOD,Luiza Marcier 4 Isabel Martins 0 Luciana Barbosa 2 Walvyker Souza 2,,8º para MOD
,,,DSG 1052,8,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),11 MOD,Isabel Martins 4 Luiza Marcier 0 Luciana Barbosa 2 Walvyker Souza 2 ,,8º para MOD
,,,DSG 1061,10,1AA,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,F 100,13 BPP,Augusto Seibel 5 Felipe Rangel 3 Claudia Kayat 0 Daniel Malaguti 2  Marco Antônio 0,,7º para PP
,,,DSG 1061,10,1AB,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,F 100,13 BPP,Claudia Kayat 5 Augusto Seibel 0 Felipe Rangel 2 Daniel Malaguti 2 Marco Antônio 1,,7º para PP
,,,DSG 1062,10,1AA,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100 (apoio LAMP 6ª),10 BPP,Felipe Rangel 5 Claudia Kayat 0 Augusto Seibel 0 Gabriella Vaccari 2 Daniel Malaguti 1 Jorge Lopes 1 Manuela Quaresma 0 Ricardo Fontes 0   Claudio Magalhães 1,,8º para PP
,,,DSG 1062,10,1AB,PROJETO FINAL PP,,3,,,6,07-11/07-13,F100 (apoio LAMP 6ª),10 BPP,Augusto Seibel 5 Felipe Rangel 0 Claudia Kayat 0  Gabriella Vaccari 2 Daniel Malaguti 0 Jorge Lopes 1 Manuela Quaresma 0 Ricardo Fontes 1  Claudio Magalhães 1,,
,,,DSG 1062,10,1AC,PROJETO FINAL PP,,3,,,6,07-11/07-13,F100 (apoio LAMP 6ª),11 BPP,Claudia Kayat 5 Felipe Rangel 0  Augusto Seibel 0 Gabriella Vaccari 2 Daniel Malaguti 1 Jorge Lopes 0 Manuela Quaresma 1 Ricardo Fontes 1  Claudio Magalhães 0,,
,,,DSG 1102,2,1AA,HISTORIA DO DESIGN II,,,,5,,09-11,VIRTUAL,20 CDI/ 2 QQC,Irina Aragão,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,DSG 1102,2,1AB,HISTORIA DO DESIGN II,,3,,,,11-13,VIRTUAL,20 CDI/ 2 QQC,Joaquim Redig,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,DSG 1103,2,1AA,TEORIA DO DESIGN,,,,,6,09-11,VIRTUAL,25 CDI,Flavia Nizia,,4º para CV e DIG 6º para MOD e PP
,,,DSG 1103,2,1AB,TEORIA DO DESIGN,,,,5,,09-11,VIRTUAL,25 CDI,Vera Damazio,,4º para CV e DIG 6º para MOD e PP
Tecnologias e Mídias Digitais ,,,DSG 1105,2,1AA,NOVAS TECNOLOGIAS,,,4,,,11-13,VIRTUAL,30 CDI,Alexandre Cantini,,8º
Tecnologias e Mídias Digitais ,,,DSG 1105,2,1AB,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,25 CDI / 5 QQC,Leonardo Cardarelli,,8º
Tecnologias e Mídias Digitais ,,,DSG 1105,2,1AC,NOVAS TECNOLOGIAS,,,,5,,09-11,VIRTUAL,30 CDI,Flavio Carvalho,,8º
Tecnologias e Mídias Digitais ,,,DSG 1105,2,1AD,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,25 CDI / 5 QQC ,Claudia Kayat,,8º
,,,DSG 1111,2,1AA,FUNDAMENTOS DA GEOMETRIA,,,4,,,13-15,VIRTUAL,26 CDI,Celso Wilmer ,,2º
,,,DSG 1112,2,1AA,GEOMETRIA,,,,5,,13-15,VIRTUAL,30 CDI,Alessandra Carusi,,3º
,,,DSG 1131,2,1AA,INT. A GRAFICA,,3,,,,07-09,ART 3,20 CDI,Guto Lins,,2º para CV - 5º para DIG e PP - 3º para MOD
,,,DSG 1131,2,1AB,INT. A GRAFICA,,,,5,,11-13,ART 3,20 CDI,Guto Lins,,2º para CV - 5º para DIG e PP - 3º para MOD
,Tecnologias e Mídias Digitais ,,DSG 1141,2,1AA,FUND. DA MIDIA DIGITAL,,,,5,,17-19,VIRTUAL,20 CDI/ 2 QQC,Jacques Chueke,,1º
,,,DSG 1143,3,1AA,EDIÇÃO POS PROD IMAGENS EM MOV,,,,,6,07-10,K 015,15 CDI,Eliane Garcia,,4º para CV e PP - 6º para DIG e MOD
,,,DSG 1143,3,1AB,EDIÇÃO POS PROD IMAGENS EM MOV,,3,,,,07-10,K 015,15 CDI,Sanseverino,,4º para CV e PP - 6º para DIG e MOD
,,,DSG 1143,3,1AC,EDIÇÃO POS PROD IMAGENS EM MOV,,,4,,,13-16,ART 3/K 015,15 CDI,Monica Frota ,,4º para CV e PP - 6º para DIG e MOD
,,,DSG 1143,3,1AD,EDIÇÃO POS PROD IMAGENS EM MOV,,,,,6,11-14,ART 3/K 015,15 CDI,Monica Frota ,,4º para CV e PP - 6º para DIG e MOD
Animação,,,DSG 1144,3,1AA,MODELAGEM VIRTUAL,2,,,,,13-16,T 04,15 CDI / 1 QQC,Leonardo Cardarelli,,"3º para CV, PP e DIG - 5º para MOD"
Animação,,,DSG 1144,3,1AB,MODELAGEM VIRTUAL,2,,,,,16-19,T 04,15 CDI / 1 QQC,Helena Cavalcanti,,"3º para CV, PP e DIG - 5º para MOD"
Animação,,,DSG 1144,3,1AC,MODELAGEM VIRTUAL,,3,,,,13-16,T 04,15 CDI / 1 QQC,Helena Cavalcanti,,"3º para CV, PP e DIG - 5º para MOD"
Animação,,,DSG 1144,3,1AD,MODELAGEM VIRTUAL,,,,5,,12-15,T 04,15 CDI / 1 QQC,Helena Cavalcanti,,"3º para CV, PP e DIG - 5º para MOD"
Animação,,,DSG 1144,3,1AE,MODELAGEM VIRTUAL,,,,,6,07-10,T 04,15 CDI / 1 QQC,Guilherme Lorenzoni,,"3º para CV, PP e DIG - 5º para MOD"
,,,DSG 1145,3,1AA,MODELAGEM VIRTUAL II,2,,,,,07-10,K 015,10 BPP/ 8 CDI,Ricardo Fontes,,6º para PP optativa de representação em PP
,,,DSG 1151,3,1AA,DESIGN DE PADRONAGEM,,3,,,,13-16,ART 1,25 CDI,Lula Rocha ,,3º
,,,DSG 1151,3,1AB,DESIGN DE PADRONAGEM,2,,,,,13-16 ,ART 1,25 CDI,Nathalia Cavalcante,,3º
,,,DSG 1151,3,1AC,DESIGN DE PADRONAGEM,,3,,,,13-16 ,ART 3,25 CDI,Carlos André,,3º
,,,DSG 1161,2,1AA,ESTÁGIO ,,,4,,,11-13,ART 3,15 MOD/15 CDI,Monica Saddi,,7º
,,,DSG 1161,2,1AB,ESTÁGIO ,,,,,6,07-09,ART 3,20 BCV/10 CDI,Gilberto Mendes,,7º
,,,DSG 1161,2,1AC,ESTÁGIO ,,,,,6,09-11,ART 3,20 DIG/10CDI,Leonardo Cardarelli,,7º
,,,DSG 1161,2,1AD,ESTÁGIO ,,,4,,,09-11,ART 3,15 BPP/15 CDI,Horista a contratar,,7º
,,,DSG 1301,3,1AA,QUESTÕES EM DESIGN,,,,,,,,,Izabel Oliveira ,,
,,,DSG 1302,2,1AA,TENDÊNCIAS EM COMUNICAÇÃO VISUAL,,,,5,,09-11,VIRTUAL,22 BCV,Horista a contratar ,,6º para CV
,,,DSG 1303,3,1AA,COR NA COMUNIC VISUAL,,3,,,,15-18 ,ART 2,20 CDI//5 QQC,Claudio Werneck ,,3º para CV
,,,DSG 1304,2,1AA,ERGONOMIA INFORMACIONAL,,,,5,,07-09,VIRTUAL,20 CDI,Claudia Mont'Alvão,,4º para CV
,,,DSG 1305,3,1AA,BIÔNICA PARA COMUNICAÇÃO VISUAL, ,3,,,,07-10,L 658,17 BCV ,Nathalia Cavalcante ,,6º para CV
,,,DSG 1311,4,1AA,GRAFICA,,3,,5,,11-13/ 11-13,F 100,20 BCV,Vera Bernardes,,4º para CV
,,,DSG 1312,3,1AA,SISTEMAS DE PROD. GRAFICA,,3,,,,08-11,K 017,11 BCV,Gilberto Mendes,,5º para CV
,,,DSG 1312,3,1AB,SISTEMAS DE PROD. GRAFICA,,3,,,,11-14,K 017,11 BCV,Claudio Werneck ,,5º para CV
,,,DSG 1312,3,1AC,SISTEMAS DE PROD. GRAFICA,,,,,6,11-14,K 017,11 BCV,Simone Formiga ,,5º para CV
Animação,,,DSG 1321,3,1AA,LING. EM COM.VISUAL,,3,,,,16-19 ,ART 3,10 CDI / 10 QQC,Simone Formiga,,3º para CV
,,,DSG 1322,2,1AA,IMAGEM REPRESENTAÇÃO CV,2,,,,,11-13,VIRTUAL,16 BCV,Izabel Oliveira ,,7º para CV
,,,DSG 1322,2,1AB,IMAGEM REPRESENTAÇÃO CV,,,,,6,09-11,VIRTUAL,16 BCV,Cristine Nogueira,,7º para CV
,,,DSG 1323,4,1AA,TEORIAS E ENFOQUES CRÍTICOS NA CV,,,4,,6,11-13,VIRTUAL/ L422,17 BCV ,Barbara Necyk,,6º para CV
,,,DSG 1323,4,1AB,TEORIAS E ENFOQUES CRÍTICOS NA CV,,3,,5,,07-09,IAG 3/VIRTUAL,17 BCV ,Romulo Matteoni,,6º para CV
,,,DSG 1331,2,1AA,TIPOGRAFIA I,2,,,,,11 -13,ART 1,20 CDI,Evelyn Grumach,,4º para CV
,,,DSG 1332,2,1AA,TIPOGRAFIA II ,,,,5,,07-09,ART 1,15  BCV,André Beltrão,,8ª para CV
,,,DSG 1332,2,1AB,TIPOGRAFIA II ,,,,5,,09-11,ART 1,15 BCV,Fábio Lopez,,8º para CV
,,,DSG 1332,2,1AC,TIPOGRAFIA II ,,,,5,,11-13,ART 1,15 BCV,André Beltrão,,8º para CV
,,,DSG 1334,4,1AA,DESIGN E COMUNICAÇÃO,2,,4,,,11-13,IAG 3,15 BCV/ 5 CDI,Vera Nojima,,Optativa para CV 
,,,DSG 1335,4,1AA,LINGUAGEM EM COMUNICAÇÃO VISUAL II,,3,,5,,11-13,IAG 3,15 BCV/ 5 CDI,Simone Formiga,,Optativa para CV 
,,,DSG 1336,2,1AA,ENCADERNAÇÃO,2,,,,,11-13,K 017,15 CDI/ 2 QQC,Cristina Viana ,,Optativa para CV 
,,,DSG 1336,2,1AB,ENCADERNAÇÃO,2,,,,,13-15,K 017,15 CDI/ 2 QQC,Cristina Viana ,,Optativa para CV 
,,,DSG 1337,4,1AA,BRANDING - CONSTRUÇÃO DA MARCA  ,,,4,,6,07-09,IAG 3,15 BCV / 6 CDI/ 2 QQC,Guto Lins ,,Optativa para CV 
Tecnologias e Mídias Digitais ,,,DSG 1403,2,1AA,ERGONOMIA E INT HUMANO-COMPUTADOR,,3,,,,11-13,VIRTUAL,20 CDI / 2 QQC,Claudia Mont'Alvão,,4º para DIG
,,,DSG 1411,2,1AA,DESIGN E EXPANSÃO DOS SENTIDOS,,3,,,,13-15,F 100,25 DIG / 5 CDI,Alexandre Cantini ,,4º para DIG
,,,DSG 1412,4,1AA,INTERFACES FÍSICAS E LÓGICAS,,,4,,6,13-15,LIFE,17 DIG / 1 QQC ,Luiz Ludwig,,7º para DIG
,,,DSG 1412,4,1AB,INTERFACES FÍSICAS E LÓGICAS,,,4,,6,11-13,LIFE,17 DIG / 1 QQC ,João Bonelli,,7º para DIG
