longitude,latitude,altitude,speed,course,date,time,satellites,temperatura,umidade
-43.241641,-22.931533,138.1,0.0,0.0,180225,13013300,4,0.00,0
-43.241550,-22.931684,162.1,5.2,195.6,180225,13013800,4,32.30,71
-43.241355,-22.931707,164.0,1.9,203.8,180225,13014300,4,33.80,46
-43.241359,-22.931705,214.9,1.7,259.6,180225,13014900,3,33.80,46
-43.241348,-22.931703,222.4,0.3,52.7,180225,13015400,3,33.80,46
-43.241321,-22.931737,217.2,0.4,208.6,180225,13015900,3,33.80,46
-43.241191,-22.931632,216.5,1.4,17.7,180225,13020500,4,33.80,46
-43.241134,-22.931642,214.2,1.2,177.7,180225,13021000,4,33.80,46
-43.241123,-22.931657,213.9,0.9,111.8,180225,13021500,3,33.30,46
-43.241046,-22.931825,168.0,0.6,171.9,180225,13022100,5,33.30,46
-43.241024,-22.931869,147.6,0.6,128.3,180225,13022600,5,33.30,46
-43.241001,-22.932035,133.5,7.5,162.7,180225,13023200,5,33.30,46
-43.240951,-22.932262,116.5,15.1,154.0,180225,13023700,5,32.80,47
-43.240978,-22.932580,89.9,12.4,152.4,180225,13024200,6,32.80,47
-43.240905,-22.932699,52.5,6.4,145.2,180225,13024800,6,32.80,47
-43.240867,-22.932807,51.8,5.8,159.0,180225,13025300,6,32.30,47
-43.240818,-22.932933,56.1,6.5,157.8,180225,13025800,6,32.30,47
-43.240665,-22.933132,59.1,12.2,139.6,180225,13030400,5,32.30,48
-43.240478,-22.933341,58.7,13.9,138.4,180225,13030900,5,32.30,48
-43.240303,-22.933614,62.0,11.9,151.1,180225,13031500,5,32.30,48
-43.240028,-22.933645,62.0,13.9,67.2,180225,13032000,5,31.80,48
-43.239696,-22.933465,65.0,17.0,57.6,180225,13032500,5,31.80,48
-43.239471,-22.933322,70.5,8.8,58.7,180225,13033100,5,31.80,48
-43.239360,-22.933265,74.1,5.7,50.3,180225,13033600,5,31.80,48
-43.239185,-22.933134,78.1,10.1,53.0,180225,13034200,5,31.80,48
-43.238948,-22.932992,81.0,14.8,59.4,180225,13034700,5,31.80,48
-43.238594,-22.932758,85.0,20.1,60.9,180225,13035200,5,31.80,49
-43.238162,-22.932498,89.6,17.3,60.3,180225,13035800,5,31.80,48
-43.237907,-22.932315,92.8,15.7,53.5,180225,13040300,4,31.80,48
-43.237655,-22.932138,96.5,14.3,53.0,180225,13040800,4,31.80,48
-43.237335,-22.932035,99.7,14.5,62.4,180225,13041400,4,31.80,48
-43.237091,-22.931962,103.3,13.3,80.7,180225,13041900,4,31.80,48
-43.236839,-22.931852,108.3,14.7,21.4,180225,13042400,4,31.80,48
-43.236843,-22.931535,111.9,9.2,343.8,180225,13043000,5,31.80,48
-43.236751,-22.931293,118.1,13.0,15.9,180225,13043500,5,31.80,48
-43.236434,-22.931015,124.0,14.7,35.6,180225,13044000,5,31.80,48
-43.236320,-22.930921,138.8,5.6,30.6,180225,13044600,6,31.80,47
-43.236347,-22.930908,148.3,1.8,29.5,180225,13045100,6,31.80,47
-43.236282,-22.930820,157.8,2.5,34.5,180225,13045700,5,31.80,47
-43.236007,-22.930879,166.7,14.5,107.7,180225,13050200,6,31.80,47
-43.235576,-22.931070,170.9,22.2,119.2,180225,13050700,6,31.80,47
-43.235031,-22.931331,175.5,21.8,121.6,180225,13051300,6,31.80,47
-43.234550,-22.931413,181.8,20.7,88.1,180225,13051800,6,31.80,47
-43.234161,-22.931335,189.6,18.6,67.6,180225,13052300,6,31.80,47
-43.233631,-22.931066,201.1,26.3,56.2,180225,13052900,6,31.80,47
-43.233158,-22.930721,212.6,27.3,51.9,180225,13053400,6,31.80,47
-43.232688,-22.930353,219.8,25.3,47.1,180225,13053900,5,31.80,47
-43.232288,-22.929998,222.1,18.4,49.0,180225,13054500,6,31.80,47
-43.232063,-22.929815,220.8,7.1,46.6,180225,13055000,6,31.80,47
-43.232006,-22.929737,223.8,2.8,36.5,180225,13055600,6,31.80,47
-43.231838,-22.929599,198.2,16.1,42.8,180225,13060100,7,31.60,47
-43.231258,-22.929037,104.3,24.9,48.4,180225,13060700,6,31.30,47
-43.230895,-22.928735,87.9,21.6,49.6,180225,13061200,6,31.30,47
-43.230545,-22.928461,84.3,20.2,51.0,180225,13061700,4,31.30,46
-43.230075,-22.928068,77.4,23.1,46.8,180225,13062300,5,31.30,46
-43.229717,-22.927745,79.7,20.7,52.3,180225,13062800,6,31.30,46
-43.229290,-22.927587,83.0,17.6,81.3,180225,13063300,6,31.30,46
-43.228866,-22.927747,86.0,18.9,115.5,180225,13063900,6,31.30,46
-43.228549,-22.927976,86.6,17.5,125.4,180225,13064400,6,31.30,46
-43.228210,-22.927995,88.6,18.5,53.3,180225,13064900,5,31.30,46
-43.227825,-22.927644,87.9,22.5,41.7,180225,13065500,5,31.30,46
