SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Isabel Moreira,DSG1812,1AA,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L260,13 ART,ISABEL MARTINS MOREIRA,3,PALESTRA,2,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AB,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L260,14 ART,RIAN OLIVEIRA REZENDE,2,MATEU DE ATHAYDE VELASCO,2,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AC,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L232,14 ART,CRISTINA VIANA TENENBAUM,3,PALESTRA,1,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AD,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L232,14 ART,AUGUSTO SEIBEL MACHADO,2,GABRIELA DE GUSMAO PEREIRA,2,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AE,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L422,14 ART,GILBERTO MENDES CORREIA JUNIOR,3,PALESTRA,1,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AF,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L422,14 ART,MARCELO FERNANDES PEREIRA,2,JULIETA COSTA SOBRAL,2,,,,,,,,,,,,,,,,,2o
Renata Mattos,DSG1813,1AA,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART4,15 ART,RENATA MATTOS EYER DE ARAUJO,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AB,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART4,15 ART,CARLOS ANDRE LAMEIRAO CORTES,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AC,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART5,15 ART,LUIS VICENTE BARROS CARDOSO DE MELO,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AD,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART5,15 ART,LUCIANA GRETHER DE MELLO CARVALHO,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AE,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,L260,15 ART,LUIZA NOVAES,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AF,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,L260,15 ART,LUCIANA BARBOSA DE SOUSA,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AG,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,L232,15 ART,HORISTA A CONTRATAR,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AH,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,L232,15 ART,HORISTA A CONTRATAR,4,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Guilherme Toledo,DSG1814,1AA,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L232,13 ART,GUILHERME AZEVEDO TOLEDO,4,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,2,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AA,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L232,,GUILHERME AZEVEDO TOLEDO,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AB,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L232,13 ART,ROMULO MIYAZAWA MATTEONI,4,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,2,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AB,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L232,,ROMULO MIYAZAWA MATTEONI,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AC,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L260,13 ART,CLAUDIA HABIB KAYAT,4,DANIEL MALAGUTI CAMPOS,2,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AC,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L260,,CLAUDIA HABIB KAYAT,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AD,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L260,13 ART,FELIPE RANGEL CARNEIRO,4,DANIEL MALAGUTI CAMPOS,2,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AD,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L260,,FELIPE RANGEL CARNEIRO,,,,,,,,,,,,,,,,,,,,4o
Augusto Seibel,DSG1815,1AA,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART1,14 ART,AUGUSTO SEIBEL MACHADO,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AA,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART1,,AUGUSTO SEIBEL MACHADO,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AB,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART1,14 ART,CLAUDIO GOMES WERNECK DE FREITAS,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AB,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART1,,CLAUDIO GOMES WERNECK DE FREITAS,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AC,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART2,14 ART,GILBERTO MENDES CORREIA JUNIOR,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AC,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART2,,GILBERTO MENDES CORREIA JUNIOR,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AD,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART2,15 ART,RENATA MATTOS EYER DE ARAUJO,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AD,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART2,,RENATA MATTOS EYER DE ARAUJO,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AE,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART3,14 ART,ISABEL MARTINS MOREIRA,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AE,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART3,,ISABEL MARTINS MOREIRA,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AF,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,ART3,15 ART,MARCELO FERNANDES PEREIRA,4,PALESTRA,2,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AF,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART3,,MARCELO FERNANDES PEREIRA,,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1816,1AA,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L532,12 ART,LUIZA FERRO COSTA MARCIER,3,GABRIELA DE GUSMAO PEREIRA,3,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1816,1AA,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L532,,LUIZA FERRO COSTA MARCIER,,GABRIELA DE GUSMAO PEREIRA,,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1816,1AB,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L532,12 ART,JORGE LANGONE,3,LUIZ TORRES LUDWIG,3,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1816,1AB,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L532,,JORGE LANGONE,,LUIZ TORRES LUDWIG,,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1821,1AA,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,L328,18 CAL/2QQC,SILVIA HELENA SOARES DA COSTA,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AB,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,ART3,18 CAL/2QQC,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AC,2,HISTÓRIA E TEORIA DO DESIGN I,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,IAG3,18 CAL/2QQC,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AD,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,SALA,18 CAL/2QQC,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AE,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,L328,18 CAL/2QQC,LUIZA FERRO COSTA MARCIER,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AF,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,ART2,18 CAL/2QQC,LUIZA MARIA INTERLENGHI,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AG,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,L120,18 CAL/2QQC,LUIZA FERRO COSTA MARCIER,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1822,1AA,2,HISTORIA DO DESIGN BRASILEIRO,FALSE,FALSE,TRUE,FALSE,FALSE,17,19,L328,25 ART,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,2o
Luiza Marcier,DSG1822,1AB,2,HISTORIA DO DESIGN BRASILEIRO,FALSE,FALSE,TRUE,FALSE,FALSE,15,17,L328,25 ART,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,2o
Luiza Marcier,DSG1822,1AC,2,HISTORIA DO DESIGN BRASILEIRO,TRUE,FALSE,FALSE,FALSE,FALSE,15,17,L328,25 ART,CRISTINE NOGUEIRA NUNES,2,,,,,,,,,,,,,,,,,,,2o
Luiza Marcier,DSG1822,1AD,2,HISTORIA DO DESIGN BRASILEIRO,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,VIRTUAL,20 ART,JOAQUIM DE SALLES REDIG DE CAMPOS,2,,,,,,,,,,,,,,,,,,,2o
Luiza Marcier,DSG1823,1AA,2,HISTÓRIA E TEORIA DO DESIGN II,TRUE,FALSE,FALSE,FALSE,FALSE,15,17,ART2,25 ART,JOAQUIM DE SALLES REDIG DE CAMPOS,2,,,,,,,,,,,,,,,,,,,3o
Luiza Marcier,DSG1823,1AB,2,HISTÓRIA E TEORIA DO DESIGN II,TRUE,FALSE,FALSE,FALSE,FALSE,15,17,L422,25 ART,SILVIA HELENA SOARES DA COSTA,2,,,,,,,,,,,,,,,,,,,3o
Luiza Marcier,DSG1823,1AC,2,HISTÓRIA E TEORIA DO DESIGN II,TRUE,FALSE,FALSE,FALSE,FALSE,17,19,L422,25 ART,SILVIA HELENA SOARES DA COSTA,2,,,,,,,,,,,,,,,,,,,3o
Luiza Marcier,DSG1823,1AD,2,HISTÓRIA E TEORIA DO DESIGN II,TRUE,FALSE,FALSE,FALSE,FALSE,17,19,L532,25 ART,CRISTINE NOGUEIRA NUNES,2,,,,,,,,,,,,,,,,,,,3o
Luiza Marcier,DSG1824,1AA,2,TEORIA DO OBJETO,FALSE,TRUE,FALSE,FALSE,FALSE,7,9,ART4,22 ART,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1824,1AB,2,TEORIA DO OBJETO,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,ART5,22 ART,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1824,1AC,2,TEORIA DO OBJETO,FALSE,TRUE,FALSE,FALSE,FALSE,7,9,L260,22 ART,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1824,1AD,2,TEORIA DO OBJETO,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,ART2,22 ART,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1825,1AA,2,HISTÓRIA DA ARTE,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,L232,22 ART,LUIZA MARIA INTERLENGHI,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1825,1AB,2,HISTÓRIA DA ARTE,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,L260,22 ART,JORGE LANGONE,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1825,1AC,2,HISTÓRIA DA ARTE,FALSE,TRUE,FALSE,FALSE,FALSE,7,9,IAG3,22 ART,JORGE LANGONE,2,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1825,1AD,2,HISTÓRIA DA ARTE,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,ART1,22 ART,LUIZA MARIA INTERLENGHI,2,,,,,,,,,,,,,,,,,,,5o
Eliane Garcia,DSG1826,1AA,2,QUESTÕES EM ÊNFASE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,F100,20 ART,CLAUDIA HABIB KAYAT,2,,,,,,,,,,,,,,,,,,,6o
Eliane Garcia,DSG1826,1AB,2,QUESTÕES EM ÊNFASE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,F100,20 ART,JOY HELENA WORMS TILL,2,,,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1830,1AA,2,ARTE COM. NA CONTEMPORANEIDADE,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,L422,20 ART,LUIZA MARIA INTERLENGHI,2,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1831,1AA,2,"DESIGN, CULTURA E CONSUMO",FALSE,FALSE,TRUE,FALSE,FALSE,7,9,ART3,10 ART/10 QQC,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1832,1AA,2,HISTÓRIA DA INDUMENTÁRIA,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,ART2,12 ART/10 QQC,SILVIA HELENA SOARES DA COSTA,2,,,,,,,,,,,,,,,,,,,Optativas de Historia da Arte e do Design
Izabel Oliveira,DSG1841,1AA,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,TRUE,FALSE,FALSE,15,17,ART3,18 CAL/2QQC,EVELYN GRUMACH,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AB,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,L328,18 CAL/2QQC,SUZANA VALLADARES FONSECA,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AC,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,L120,18 CAL/2QQC,JULIETA COSTA SOBRAL,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AD,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,L422,18 CAL/2QQC,ROMULO MIYAZAWA MATTEONI,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AE,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,FALSE,FALSE,FALSE,15,17,ART5,18 CAL/2QQC,HORISTA A CONTRATAR,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AE,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,15,17,ART2,,HORISTA A CONTRATAR,,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AF,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,FALSE,FALSE,FALSE,15,17,L658,18 CAL/2QQC,SUZANA VALLADARES FONSECA,4,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AF,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,15,17,L532,,SUZANA VALLADARES FONSECA,,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1841,1AG,4,LINGUAGEM E COMUNICAÇÃO NO DESIGN,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,SALA,18 CAL/2QQC,EVELYN GRUMACH,4,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AA,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,11,13,F100,18 CAL,ALEXANDRE CANTINI REZENDE,2,FLAVIO MARQUES DE CARVALHO JUNIOR,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AB,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,11,13,K15,18 CAL,ELIANE GARCIA PEREIRA,2,LUIZ EDUARDO DUTRA COELHO DA ROCHA,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AC,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,FALSE,TRUE,FALSE,TRUE,FALSE,11,13,F100,18 CAL,JOSE ROBERTO SANSEVERINO,2,GUILHERME DE ALMEIDA XAVIER,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AD,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,FALSE,TRUE,FALSE,TRUE,FALSE,11,13,K15,18 CAL,HORISTA A CONTRATAR,2,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AE,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,F100,18 CAL,LUIZ EDUARDO DUTRA COELHO DA ROCHA,2,FLAVIO MARQUES DE CARVALHO JUNIOR,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AF,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,K15,18 CAL,JOSE ROBERTO SANSEVERINO,2,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AG,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,15,17,F100,18 CAL,FLAVIO MARQUES DE CARVALHO JUNIOR,2,ALEXANDRE CANTINI REZENDE,2,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1842,1AH,4,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,TRUE,FALSE,TRUE,FALSE,FALSE,15,17,K15,20 ART,HORISTA A CONTRATAR,2,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AA,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,L260,18 CAL/2QQC,ANDRE LUIS FERREIRA BELTRAO,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AB,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,L532,18 CAL/2QQC,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AC,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L658,18 CAL/2QQC,PRISCILA ANDRADE SILVA,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AD,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L422,18 CAL/2QQC,JOSE AUGUSTO BRANDAO ESTELLITA LINS,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AE,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,ART3,18 CAL/2QQC,JOSE AUGUSTO BRANDAO ESTELLITA LINS,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AF,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,L232,18 CAL/2QQC,NATHALIA CHEHAB DE SA CAVALCANTE,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1843,1AG,2,LINGUAGEM GRÁFICA ,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,L260,18 CAL/2QQC,ANDRE LUIS FERREIRA BELTRAO,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AA,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,ART5,18 CAL/2QQC,EDUARDO ROCHA DE OLIVEIRA FILHO,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AB,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,ART5,18 CAL/2QQC,LUCIANA GRETHER DE MELLO CARVALHO,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AC,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,ART2,18 CAL/2QQC,LUCIANA BARBOSA DE SOUSA,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AD,2,DESENHO DE OBSERVAÇÃO,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART4,18 CAL/2QQC,NATHALIA CHEHAB DE SA CAVALCANTE,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AE,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,K17,18 CAL/2QQC,CARLOS ANDRE LAMEIRAO CORTES,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AF,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,ART1,18 CAL/2QQC,EDUARDO ROCHA DE OLIVEIRA FILHO,2,,,,,,,,,,,,,,,,,,,1o 
João Bonelli,DSG1844,1AG,2,DESENHO DE OBSERVAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,ART5,18 CAL/2QQC,CARLOS ANDRE LAMEIRAO CORTES,2,,,,,,,,,,,,,,,,,,,1o 
Izabel Oliveira,DSG1845,1AA,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",FALSE,FALSE,FALSE,TRUE,FALSE,15,18,L328,20 ART,ROMULO MIYAZAWA MATTEONI,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1845,1AB,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",FALSE,FALSE,FALSE,TRUE,FALSE,15,18,L120,20 ART,IZABEL MARIA DE OLIVEIRA,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1845,1AC,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",FALSE,FALSE,FALSE,TRUE,FALSE,15,18,L422,20 ART,MARIA JULIA MORAES PINTO NUNES,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1845,1AD,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN I",FALSE,FALSE,FALSE,TRUE,FALSE,15,18,L658,20 ART,MATEU DE ATHAYDE VELASCO,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1846,1AA,2,GEOMETRIA NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,15,17,L658,20 ART,CELSO BRAGA WILMER,2,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1846,1AB,2,GEOMETRIA NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,17,19,L422,20 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1846,1AC,2,GEOMETRIA NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,15,17,L422,20 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1846,1AD,2,GEOMETRIA NO DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,ART5,21 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,2o
