SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Isabel Moreira,DSG1052,1AA,8,PROJETO FINAL MOD,FALSE,TRUE,FALSE,FALSE,TRUE,7,11,ART2,11 MOD,ISABEL MARTINS MOREIRA,4,WALVYKER ALVES DE SOUZA,4,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1052,1AB,8,PROJETO FINAL MOD,FALSE,TRUE,FALSE,FALSE,TRUE,7,11,ART2,12 MOD,LUCIANA BARBOSA DE SOUSA,4,BARBARA DE OLIVEIRA E CRUZ,4,,,,,,,,,,,,,,,,,
Claudia Kayat,DSG1061,1AA,10,PROJETO ESPECIFICO PP,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,ART3,10 EPP,AUGUSTO SEIBEL MACHADO,4,FELIPE RANGEL CARNEIRO,4,CLAUDIA HABIB KAYAT,2,,,,,,,,,,,,,,,
Claudia Kayat,DSG1061,1AA,10,PROJETO ESPECIFICO PP,FALSE,FALSE,FALSE,TRUE,FALSE,7,13,ART3,,AUGUSTO SEIBEL MACHADO,,FELIPE RANGEL CARNEIRO,,CLAUDIA HABIB KAYAT,,,,,,,,,,,,,,,,
Claudia Kayat,DSG1062,1AA,10,PROJETO ESPECIFICO PP,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,LAMP,12 EPP,FELIPE RANGEL CARNEIRO,3,CLAUDIA HABIB KAYAT,1,AUGUSTO SEIBEL MACHADO,2,GABRIELLA FERREIRA CHAVES VACCARI,4,,,,,,,,,,,,,
Claudia Kayat,DSG1062,1AA,10,PROJETO ESPECIFICO PP,FALSE,FALSE,FALSE,FALSE,TRUE,7,13,LAMP,,FELIPE RANGEL CARNEIRO,,CLAUDIA HABIB KAYAT,,AUGUSTO SEIBEL MACHADO,,GABRIELLA FERREIRA CHAVES VACCARI,,,,,,,,,,,,,,
João Bonelli,DSG1105,1AA,2,NOVAS TECNOLOGIAS,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,VIRTUAL,20 ART/ 5 QQC,ALEXANDRE CANTINI REZENDE,2,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1105,1AB,2,NOVAS TECNOLOGIAS,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,VIRTUAL,20 ART/ 5 QQC,FLAVIO MARQUES DE CARVALHO JUNIOR,2,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1143,1AA,3,ED/POS-PROD IMAG EM MOVIMENTO,FALSE,FALSE,FALSE,FALSE,TRUE,7,10,K15,20 ART,ELIANE GARCIA PEREIRA,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1143,1AB,3,ED/POS-PROD IMAG EM MOVIMENTO,FALSE,FALSE,FALSE,FALSE,TRUE,13,16,K15,20 ART ,JOSE ROBERTO SANSEVERINO,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1144,1AA,3,MODELAGEM VIRTUAL,FALSE,TRUE,FALSE,FALSE,FALSE,13,16,K15,15 ART/5 QQC,HELENA CAVALCANTI DE ALBUQUERQUE,3,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1305,1AA,3,BIÔNICA PARA COMUNICAÇÃO VISUAL,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,K17,15 ART/5 QQC,NATHALIA CHEHAB DE SA CAVALCANTE,3,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1323,1AA,4,TEORIAS E ENFOQUES CRÍTICOS NA CV,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,VIRTUAL,15 ART/5 QQC,SIMONE CARVALHO DE FORMIGA XAVIER,4,,,,,,,,,,,,,,,,,,,
