longitude,latitude,altitude,speed,course,date,time,satellites,temperatura,umidade
-43.231197,-22.977519,-88.9,0.0,0.0,180225,22122100,3,0.00,0
-43.231239,-22.977497,-85.0,2.6,234.1,180225,22122600,3,27.60,52
-43.231300,-22.977489,-84.3,1.6,210.7,180225,22123100,4,31.30,63
-43.231296,-22.977542,-85.0,2.9,147.1,180225,22123700,4,31.30,63
-43.231330,-22.977622,-84.3,4.0,145.9,180225,22124200,4,31.30,63
-43.231315,-22.977699,-84.0,3.4,181.5,180225,22124700,4,31.30,63
-43.231323,-22.977804,-84.0,4.2,189.4,180225,22125300,4,31.30,63
-43.231330,-22.977907,-84.3,4.5,179.9,180225,22125800,4,31.30,63
-43.231315,-22.977993,-84.3,4.0,167.0,180225,22130300,4,31.30,63
-43.231266,-22.978063,-84.3,3.5,138.8,180225,22130900,4,31.30,63
-43.231231,-22.978105,-84.0,3.1,183.6,180225,22131400,4,31.30,63
-43.231307,-22.978157,-72.2,2.2,173.0,180225,22131900,4,31.30,63
-43.231235,-22.978199,-64.6,1.3,130.0,180225,22132500,4,31.30,62
-43.231216,-22.978176,-64.3,1.8,35.5,180225,22133000,4,31.30,63
-43.231208,-22.978132,-64.0,1.6,33.6,180225,22133600,4,31.30,63
-43.231212,-22.978116,-60.0,0.6,72.9,180225,22134100,4,31.30,63
-43.231208,-22.978111,-60.0,0.3,24.4,180225,22134600,4,31.30,63
-43.231204,-22.978080,-59.7,1.0,1.2,180225,22135200,4,31.30,64
-43.231204,-22.978071,-59.7,1.1,1.0,180225,22135700,2,31.30,64
-43.231048,-22.977800,-59.4,4.6,32.7,180225,22140200,3,31.30,64
-43.231014,-22.977750,-59.1,4.6,34.0,180225,22140800,3,31.30,64
-43.231231,-22.978302,-51.5,4.6,34.0,180225,22162100,6,31.30,63
-43.230957,-22.978654,-44.0,9.6,179.9,180225,22162600,7,31.30,63
-43.230960,-22.978914,-46.3,10.0,180.1,180225,22163100,7,32.80,64
-43.231002,-22.979114,-60.0,4.6,182.4,180225,22163700,7,32.80,63
-43.230987,-22.979124,-64.6,0.7,127.7,180225,22164200,7,32.80,62
-43.230983,-22.979139,-65.0,1.6,159.5,180225,22164700,7,32.70,61
-43.231063,-22.979164,-57.1,3.3,189.9,180225,22165300,7,32.30,61
-43.231075,-22.979238,-58.7,3.9,173.0,180225,22165800,7,32.30,60
-43.231124,-22.979375,-58.4,3.2,178.4,180225,22170300,8,32.30,60
-43.231430,-22.979429,-61.0,19.1,270.6,180225,22170900,8,32.30,59
-43.231781,-22.979476,-61.7,12.8,237.1,180225,22171400,8,32.30,59
-43.231746,-22.979684,-76.4,14.7,136.0,180225,22171900,8,32.30,58
-43.231170,-22.979679,-90.6,24.7,87.0,180225,22172500,7,32.30,58
-43.230628,-22.979675,-104.0,20.0,88.2,180225,22173000,7,32.30,57
-43.230255,-22.979738,-117.8,13.6,102.5,180225,22173600,7,32.30,57
-43.229717,-22.979715,-126.6,27.7,68.2,180225,22174100,7,32.30,57
-43.229164,-22.979558,-140.4,24.8,70.5,180225,22174600,7,32.30,56
-43.228664,-22.979433,-150.9,15.2,70.2,180225,22175200,7,32.30,56
-43.228473,-22.979375,-163.1,6.1,73.3,180225,22175700,7,31.80,55
-43.228351,-22.979337,-177.8,5.0,73.7,180225,22180200,7,31.80,55
-43.228282,-22.979291,-195.5,5.9,80.0,180225,22180800,7,31.80,55
-43.228107,-22.979236,-211.0,12.8,72.5,180225,22181300,7,31.80,54
-43.227836,-22.979162,-219.8,11.5,73.2,180225,22181800,7,31.80,54
-43.227760,-22.979158,-229.3,0.1,74.1,180225,22182400,7,31.80,53
-43.227764,-22.979158,-230.3,0.0,74.1,180225,22182900,7,31.80,53
-43.227764,-22.979158,-230.3,0.0,74.1,180225,22183400,7,31.80,52
-43.227764,-22.979158,-230.3,0.0,74.1,180225,22184000,7,31.80,52
-43.227664,-22.978923,-229.0,5.1,73.3,180225,22184500,7,31.80,52
-43.227603,-22.978862,-36.7,1.2,77.9,180225,22185100,7,31.80,52
-43.227596,-22.978895,-18.7,0.1,65.4,180225,22185600,7,31.30,51
-43.227592,-22.978914,-3.6,0.4,65.4,180225,22190100,7,31.30,51
-43.227596,-22.978919,-3.3,0.2,65.4,180225,22190700,7,31.30,51
-43.227596,-22.978937,-2.6,0.1,65.4,180225,22191200,7,31.30,51
-43.227596,-22.978931,-7.5,0.2,65.4,180225,22191700,7,31.30,51
-43.227603,-22.978912,-18.4,0.2,65.4,180225,22192300,7,31.30,51
-43.227611,-22.978889,-22.3,0.2,65.4,180225,22192800,7,31.30,50
-43.227611,-22.978853,-14.8,0.1,65.4,180225,22193400,8,31.30,50
-43.227603,-22.978836,-5.2,0.1,65.4,180225,22193900,8,31.30,50
-43.227600,-22.978824,1.0,0.1,65.4,180225,22194400,8,30.80,50
-43.227584,-22.978815,18.0,0.1,65.4,180225,22195000,8,30.80,50
-43.227577,-22.978811,24.9,0.0,65.4,180225,22195500,8,30.80,50
-43.227577,-22.978807,28.5,0.0,65.4,180225,22200100,8,30.80,50
-43.227577,-22.978811,28.5,0.0,65.4,180225,22200600,8,30.80,50
-43.227577,-22.978815,31.2,0.0,65.4,180225,22201100,8,30.80,50
-43.227573,-22.978820,33.5,0.0,65.4,180225,22201700,8,30.80,50
