longitude,latitude,altitude,speed,course,date,time,satellites,temperatura,umidade
-43.160339,-22.943695,-8.2,0.0,0.0,151025,14583400,5,0.00,0
-43.160411,-22.943668,-26.2,0.8,302.6,151025,14583900,6,26.20,77
-43.160465,-22.943630,-35.4,0.8,291.3,151025,14584400,6,26.20,73
-43.160507,-22.943611,-41.7,0.8,308.6,151025,14585000,5,26.20,73
-43.160530,-22.943603,-44.3,0.8,298.2,151025,14585500,5,26.20,73
-43.160530,-22.943595,-43.6,0.7,309.5,151025,14590000,5,26.20,73
-43.160766,-22.943418,-13.8,0.4,280.1,151025,14590600,6,26.20,73
-43.160755,-22.943408,-9.5,0.2,12.6,151025,14591100,6,25.80,73
-43.160755,-22.943403,-8.9,0.1,333.3,151025,14591600,6,25.80,72
-43.160789,-22.943389,-10.8,0.4,326.2,151025,14592200,6,25.80,72
-43.160823,-22.943389,2.3,0.2,279.8,151025,14592700,6,25.80,71
-43.160835,-22.943393,7.5,0.4,230.9,151025,14593200,6,25.60,71
-43.160846,-22.943397,7.5,0.3,300.5,151025,14593800,6,25.30,70
-43.160850,-22.943391,7.5,0.3,242.9,151025,14594300,6,25.30,70
-43.160858,-22.943395,7.5,0.2,256.1,151025,14594900,7,25.30,69
-43.160861,-22.943395,7.5,0.6,264.2,151025,14595400,7,25.30,69
-43.160881,-22.943403,11.8,1.2,256.9,151025,14595900,7,25.30,69
-43.160953,-22.943410,11.2,3.7,276.5,151025,15000500,7,24.80,69
-43.161117,-22.943422,6.2,8.6,265.8,151025,15001000,8,24.80,69
-43.161365,-22.943414,4.9,9.8,267.9,151025,15001500,8,24.80,69
-43.161586,-22.943422,-1.3,6.1,265.5,151025,15002100,8,24.80,68
-43.161674,-22.943449,-10.2,2.8,251.2,151025,15002600,8,24.80,68
-43.161769,-22.943487,-17.7,4.5,242.1,151025,15003100,8,24.80,68
-43.161808,-22.943532,-25.9,3.2,236.8,151025,15003700,8,24.80,67
-43.161869,-22.943586,-33.5,2.9,242.1,151025,15004200,8,24.80,66
-43.161972,-22.943641,-38.1,7.4,228.1,151025,15004700,8,24.50,66
-43.162200,-22.943826,-44.9,12.8,223.3,151025,15005300,8,24.50,65
-43.162437,-22.944065,-47.6,17.0,222.4,151025,15005800,8,24.50,65
-43.162815,-22.944572,-56.1,21.0,214.2,151025,15010400,8,24.50,64
-43.163078,-22.944919,-64.0,18.6,212.1,151025,15010900,8,24.50,64
-43.163253,-22.945135,-62.7,6.7,215.9,151025,15011400,8,24.50,64
-43.163269,-22.945165,-61.4,0.7,198.2,151025,15012000,8,24.50,64
-43.163288,-22.945158,-60.7,0.7,198.2,151025,15012500,7,24.50,63
-43.163291,-22.945158,-60.4,0.0,198.2,151025,15013000,7,24.50,63
-43.163295,-22.945154,-60.4,0.0,198.2,151025,15013600,7,24.10,62
-43.163295,-22.945154,-60.4,0.0,198.2,151025,15014100,7,24.10,62
-43.163299,-22.945154,-60.0,0.1,198.2,151025,15014600,7,24.10,62
-43.163368,-22.945270,-55.1,10.2,211.5,151025,15015200,7,24.10,62
-43.163490,-22.945507,-43.6,15.4,212.0,151025,15015700,7,24.10,62
-43.163650,-22.945768,-37.1,14.1,207.1,151025,15020200,7,24.10,62
-43.163696,-22.946163,-25.6,17.6,167.9,151025,15020800,7,24.10,62
-43.163475,-22.946605,-21.0,18.6,152.1,151025,15021400,7,23.80,62
-43.163326,-22.946876,-17.7,12.0,158.7,151025,15021900,7,23.80,62
-43.163169,-22.947076,-18.4,12.7,150.5,151025,15022400,8,23.80,61
-43.162990,-22.947345,-17.7,13.1,156.4,151025,15023000,8,23.80,61
-43.162921,-22.947469,-11.2,0.1,179.7,151025,15023500,8,23.80,61
-43.162910,-22.947486,-3.9,0.1,179.7,151025,15024000,8,23.80,61
-43.162918,-22.947498,0.7,0.0,179.7,151025,15024600,8,23.80,61
-43.162921,-22.947502,0.7,0.1,179.7,151025,15025100,8,23.40,61
-43.162906,-22.947549,0.7,6.9,150.0,151025,15025600,8,23.40,63
-43.162773,-22.947774,-1.0,8.0,154.8,151025,15030200,8,23.40,64
-43.162662,-22.947937,1.0,10.4,154.5,151025,15030700,8,23.40,65
-43.162555,-22.948143,5.2,11.8,167.1,151025,15031200,8,23.40,65
-43.162754,-22.948347,12.5,11.8,244.8,151025,15031800,8,23.40,65
-43.162975,-22.948415,16.1,11.2,258.3,151025,15032300,8,23.40,65
-43.163257,-22.948453,21.3,11.4,259.3,151025,15032900,8,23.40,65
-43.163486,-22.948566,25.9,10.1,273.7,151025,15033400,8,23.40,64
-43.163696,-22.948427,30.2,11.3,313.6,151025,15033900,8,23.40,64
-43.163825,-22.948348,28.5,5.2,303.7,151025,15034500,8,23.40,63
-43.164012,-22.948255,26.9,10.4,306.7,151025,15035000,8,23.40,63
-43.164199,-22.948097,32.8,10.1,310.0,151025,15035500,9,23.40,63
-43.164264,-22.948045,35.1,0.1,309.0,151025,15040100,9,23.00,62
-43.164340,-22.947992,37.4,7.1,308.3,151025,15040600,9,23.00,62
-43.164527,-22.947902,42.0,11.0,290.4,151025,15041100,9,23.00,61
-43.164951,-22.947906,47.6,16.4,263.3,151025,15041700,8,23.00,61
-43.165355,-22.948020,52.8,19.7,236.7,151025,15042200,9,22.70,60
-43.165725,-22.948314,58.1,20.9,230.9,151025,15042700,9,22.60,60
-43.166130,-22.948694,65.6,22.0,229.1,151025,15043300,9,22.60,60
-43.166603,-22.949079,72.8,23.6,228.3,151025,15043900,9,22.60,59
-43.167026,-22.949403,64.3,21.7,230.9,151025,15044400,9,22.60,59
-43.167396,-22.949691,58.7,20.3,231.8,151025,15044900,9,22.20,59
-43.167728,-22.950067,41.0,17.9,202.4,151025,15045500,9,22.20,59
-43.167835,-22.950445,30.5,19.9,195.8,151025,15050000,9,22.20,59
-43.168056,-22.950820,18.0,22.3,225.4,151025,15050500,9,22.20,59
-43.168453,-22.951147,10.2,16.9,231.6,151025,15051100,9,22.20,59
-43.168655,-22.951320,3.9,10.2,221.6,151025,15051600,9,22.20,59
-43.168697,-22.951486,-2.6,10.1,173.1,151025,15052100,9,22.20,59
-43.168598,-22.951810,-1.6,13.9,162.5,151025,15052700,9,21.90,59
-43.168552,-22.951978,-1.3,0.1,161.1,151025,15053200,9,21.80,59
-43.168540,-22.951982,-2.3,0.0,161.1,151025,15053700,9,21.80,59
-43.168544,-22.952056,-1.3,6.2,166.4,151025,15054300,8,21.80,59
-43.168479,-22.952234,6.6,11.9,157.8,151025,15054800,8,21.80,59
-43.168361,-22.952575,15.1,15.1,164.4,151025,15055400,8,21.80,59
-43.168262,-22.952871,12.8,13.9,161.0,151025,15055900,8,21.80,59
-43.168174,-22.953151,10.8,10.8,166.0,151025,15060400,8,21.80,58
-43.168167,-22.953216,2.0,0.0,171.6,151025,15061000,8,21.80,58
-43.168170,-22.953222,2.6,0.0,171.6,151025,15061500,8,21.60,58
