Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
,,Bel,DSG1052,8,1AB,PROJETO FINAL MOD,,3,,,6,07-11,ART 2 (apoio LAB 6ª),12 MOD,Isabel Martins 4 Luiza Marcier 0 Luciana Barbosa 2 Walvyker Souza 2 ,8º para MOD
,,Kayat,DSG1061,10,1AA,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,ART1/ART2,10 EPP,Augusto Seibel 5 Felipe Rangel 2 Claudia Kayat 0 Daniel Malaguti 2  Guilherme Lorenzon 1,7º para PP
,,Kayat,DSG1061,10,1AB,PROJETO ESPECÍFICO PP,,3,,5,,07-11/07-13,ART1/ART2,10 EPP,Claudia Kayat 5 Augusto Seibel 0 Felipe Rangel 2 Daniel Malaguti 2 Guilherme Lorenzon 1,7º para PP
,,Kayat,DSG1062,10,1AA,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100,10 EPP,Felipe Rangel 4 Claudia Kayat 2 Augusto Seibel 0 Gabriella Vaccari 3 Daniel Malaguti 1,8º para PP
,,Kayat,DSG1062,10,1AB,PROJETO FINAL PP,,3,,,6,07-11/07-13,F 100,10 EPP,Augusto Seibel 5 Felipe Rangel 0 Claudia Kayat 2  Gabriella Vaccari 2 Jorge Lopes 1 Daniel Malaguti 0,8º para PP
,DSG0100,Luiza,DSG1102,2,1AA,HISTORIA DO DESIGN II,,3,,,,11-13,VIRTUAL,10 ART/10 QQC,Joaquim Redig,Optativa de História da Arte e do Design
,DSG0100,Luiza,DSG1104,2,1AA,HISTÓRIA DOS ESTILOS ,,,,5,,13-15,VIRTUAL,10 ART/10 QQC,Silvia Helena ,Optativa de História da Arte e do Design
Tecnologias e MD ,,João,DSG1105,2,1AA,NOVAS TECNOLOGIAS,,,4,,,11-13,VIRTUAL,25 ART / 5 QQC ,Alexandre Cantini,8º
Tecnologias e MD ,,João,DSG1105,2,1AB,NOVAS TECNOLOGIAS,,,4,,,09-11,VIRTUAL,25 ART / 5 QQC ,Leonardo Cardarelli,8º
Tecnologias e MD ,,João,DSG1105,2,1AC,NOVAS TECNOLOGIAS,,,,5,,09-11,VIRTUAL,25 ART / 5 QQC ,Flavio Carvalho,8º
,DSG1967,João,DSG1143,3,1AA,EDIÇÃO POS PROD IMAGENS EM MOV,,,,,6,07-10,K 015,20 ART ,Eliane Garcia,4º para CV e PP - 6º para DIG e MOD
,,João,DSG1143,3,1AB,EDIÇÃO POS PROD IMAGENS EM MOV,,3,,,,07-10,K 015,20 ART ,Sanseverino,4º para CV e PP - 6º para DIG e MOD
Animação,,João,DSG1144,3,1AA,MODELAGEM VIRTUAL,,3,,,,13-16,F 100,13 ART / 2 QQC,Helena Cavalcanti,"3º para CV, PP e DIG - 5º para MOD"
,,Kayat,DSG1145,3,1AA,MODELAGEM VIRTUAL II,2,,,,,07-10,F 100,10 ART/ 8 QQC,Ricardo Fontes,6º PP optativa de representação em PP
,DSG1831,Bebel,DSG1302,2,1AA,TENDÊNCIAS EM COMUNICAÇÃO VISUAL,,,,5,,09-11,VIRTUAL,18 ECV,Flavia Nizia,6º para CV
,,Bebel,DSG1303,3,1AA,COR NA COMUNIC VISUAL,,3,,,,15-18 ,K 017,15 ART /5 QQC,Claudio Werneck ,3º para CV
,,Bebel,DSG1305,3,1AA,BIÔNICA PARA COMUNICAÇÃO VISUAL, ,,4,,,10-13,ART 4,20 ECV,Nathalia Cavalcante ,6º para CV
,Ultimo semestre,Bebel,DSG1311,4,1AA,GRAFICA,2,,4,,,09-11,K 017,8 ECV/12 QQC,Julieta Sobral ,4º para CV
,,Bebel,DSG1312,3,1AA,SISTEMAS DE PROD. GRAFICA,,,,5,,08-11 ,K 017,18 ECV ,Gilberto Mendes,5º para CV
,,Bebel,DSG1322,2,1AA,IMAGEM REPRESENTAÇÃO CV,2,,,,,11-13,VIRTUAL,18 ECV ,Izabel Oliveira ,7º para CV
,,Bebel,DSG1322,2,1AB,IMAGEM REPRESENTAÇÃO CV,,,,,6,09-11,VIRTUAL,18 ECV ,Cristine Nogueira,7º para CV
,,Bebel,DSG1323,4,1AA,TEORIAS E ENFOQUES CRÍTICOS NA CV,,,4,,6,11-13,VIRTUAL/ART 3,20 ECV,Simone Formiga ,6º para CV
,,Bebel,DSG1332,2,1AA,TIPOGRAFIA II ,,,,5,,09-11,L 532,20 ECV ,Fábio Lopez,8º para CV
,,Bebel,DSG1332,2,1AB,TIPOGRAFIA II ,,,,5,,11-13,ART 1,20 ECV ,André Beltrão,8º para CV
,,Bebel,DSG1335,4,1AA,LINGUAGEM EM COMUNICAÇÃO VISUAL II,,3,,5,,13-15,ART 4,10 ART /10 QQC,Simone Formiga,Optativa para CV 
,,Bebel,DSG1336,2,1AA,ENCADERNAÇÃO,2,,,,,11-13,K 017,15 ART / 5 QQC,Cristina Viana ,Optativa para CV 
,,Bebel,DSG1337,4,1AA,BRANDING - CONSTRUÇÃO DA MARCA  ,,,4,,6,11-13 ,ART 5/ ART 1,15 ART / 5 QQC,Guto Lins ,Optativa para CV 
Tecnologias e MD ,,Bebel,DSG1403,2,1AA,ERGONOMIA E INT HUMANO-COMPUTADOR,,,,5,,11-13,VIRTUAL,20 ART / 4 QQC ,Isabela Mota ,4º para DIG
,,João,DSG1412,4,1AA,INTERFACES FÍSICAS E LÓGICAS,,,4,,6,13-15,LIFE,20 DIG,Luiz Ludwig ,7º para DIG
,,João,DSG1413,4,1AB,DESIGN DE OBJETOS INTELIGENTES,2,,,,,13-16/1SHF,LIFE,18 DIG ,João Bonelli ,8º para DIG
,DSG0100 e DSG0830,Luiza,DSG1414,3,1AA,HISTÓRIAS DAS MÍDIAS DIGITAIS INTERATIVAS ,,,4,,,13-16,VIRTUAL,20 ART/ 2 QQC,Leonardo Cardarelli,Optativa de História da Arte e do Design
,,João,DSG1415,3,1AA,SONORIZAÇÃO E ÁUDIO DIGITAIS,,,4,,,07-10,F 100,20 DIG,Werther Azevedo,8º para DIG OPTATIVA
Animação,,João,DSG1421,3,1AA,PRINCIPIOS DE ANIMAÇÃO,,3,,,,13-16,LAIA,20 QQC ,Marcos Amarante,3º para DIG
Animação,,João,DSG1422,3,1AA,COMPUTAÇÃO PARA ANIMAÇÃO,,,,5,,09-12,F 100,5 DIG / 5 QQC/ 5 ART ,Leonardo Cardarelli,5º para DIG
Animação,DSG0100,Luiza,DSG1423,2,1AA,HISTÓRIA  DA ANIMAÇÃO,,,4,,,17-19,VIRTUAL,20 QQC ,Marcos Amarante,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,DSG0100,Luiza,DSG1423,2,1AB,HISTÓRIA  DA ANIMAÇÃO,,,4,,,13-15,VIRTUAL,20 QQC,Marcos Amarante,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
Animação,,João,DSG1424,3,1AA,ANIMAÇÃO ,,,,,6,13-16,LAIA,10 ART / 7 QQC,Claudia Bolshaw,5º/8º para DIG OPTATIVA
