SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H 5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Claudia Kayat,DSG1062,1AA,10,PROJETO ESPECIFICO PP,FALSE,FALSE,FALSE,FALSE,TRUE,7,13,F100,,,,,,,,,,,,,,,,,,,,,,
Eliane Garcia,DSG1142,1AA,3,CRIACAO/TRATAMENTO DE IMAGEM,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1143,1AA,3,ED/POS-PROD IMAG EM MOVIMENTO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
Eliane Garcia,DSG1424,1AA,3,ANIMACAO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
Eliane Garcia,DSG1424,1AA,3,ANIMACAO,FALSE,FALSE,TRUE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1517,1AA,3,DESIGN DE ESTAMPARIA,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,
,DSG1518,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,DSG1623,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Langone,DSG1801,1AA,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L532,18 CAL,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AB,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,ART1,18 CAL,TATIANA BARBOSA CARVALHO,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AC,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L658,18 CAL,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AD,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,ART3,18 CAL,DANIEL MALAGUTI CAMPOS,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AE,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,SALA,18 CAL,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AF,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,SALA,18 CAL,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AG,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,SALA,18 CAL,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1802,1AA,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART1,20 ART,,,,,,,,,,,,,,,,,,,,,2o
