lat,long,horario
-22.970847766666665,-43.21740333333334,12:19:12
-22.970563050000003,-43.217397216666654,12:19:16
-22.97027166666667,-43.217403883333326,12:19:20
-22.970001666666665,-43.21739971666666,12:19:25
-22.969756666666665,-43.21739638333333,12:19:29
-22.969503333333332,-43.21739748333333,12:19:33
-22.969243316666663,-43.2174086,12:19:37
-22.969046099999996,-43.217413316666665,12:19:41
-22.969009983333333,-43.21741388333333,12:19:45
-22.969009983333333,-43.21741388333333,12:19:49
-22.969009983333333,-43.21741388333333,12:19:53
-22.969009983333333,-43.21741388333333,12:19:57
-22.969006933333333,-43.21741388333333,12:20:1
-22.96889833333333,-43.217414999999995,12:20:5
-22.968650816666663,-43.2174125,12:20:9
-22.96832388333333,-43.217418333333335,12:20:13
-22.96797081666667,-43.21742555000001,12:20:17
-22.96763526666667,-43.21738526666666,12:20:21
-22.967412483333334,-43.21726193333334,12:20:26
-22.967259716666664,-43.21717081666667,12:20:30
-22.967199166666667,-43.2171461,12:20:34
-22.9671386,-43.217107483333336,12:20:38
-22.967023049999998,-43.21703305,12:20:42
-22.966914150000004,-43.216950833333335,12:20:46
-22.966854166666668,-43.216915,12:20:50
-22.96685138333333,-43.21691331666666,12:20:54
-22.96685138333333,-43.21691331666666,12:20:58
-22.96685138333333,-43.21691331666666,12:21:2
-22.96685138333333,-43.21691331666666,12:21:6
-22.96684888333333,-43.21691193333333,12:21:10
-22.966801383333337,-43.21688443333334,12:21:14
-22.96666138333333,-43.21680166666667,12:21:18
-22.966423883333327,-43.21665888333333,12:21:22
-22.96616305,-43.21650221666667,12:21:27
-22.965919433333337,-43.21636081666667,12:21:31
-22.965771933333333,-43.21627610000001,12:21:35
-22.965604716666668,-43.21617388333334,12:21:39
-22.965535266666667,-43.21613581666667,12:21:43
-22.965517500000004,-43.21612471666667,12:21:47
-22.965406933333327,-43.216052483333335,12:21:51
-22.965233333333337,-43.2159211,12:21:55
-22.965023883333334,-43.21567081666667,12:21:59
-22.964809716666664,-43.21537,12:22:3
-22.96452305,-43.214964983333324,12:22:7
-22.964275266666665,-43.21460305000001,12:22:11
-22.96403331666667,-43.2141725,12:22:15
-22.963821666666664,-43.21374583333333,12:22:19
-22.963620833333334,-43.21332388333334,12:22:23
-22.963441933333335,-43.212900833333336,12:22:28
-22.963275833333334,-43.21247193333334,12:22:32
-22.963108333333334,-43.212056383333326,12:22:36
-22.9629286,-43.21166,12:22:40
-22.962801383333332,-43.211215833333334,12:22:44
-22.962775549999996,-43.210729433333334,12:22:48
-22.962843883333335,-43.2102275,12:22:52
-22.962967483333333,-43.20973471666666,12:22:56
-22.96306971666667,-43.209275266666666,12:23:0
